name,slug,ceo_name,ceo_linkedin,company_linkedin,eng,remote,job_website,description,stage,tags,industries,all_locations,team_size,batch,funding
Geosite,geosite,Rachel Olney,https://www.linkedin.com/in/rachelolney/,\N,false,false,https://www.ycombinator.com/companies/geosite/jobs (could not find a dedicated career website),Geosite is an enterprise SaaS platform for spatial data.,Early,"{saas,geographic information system}","{b2b,operations}","Palo Alto, CA, USA",40,Winter 2019,8500000
ZeroStorefront,zerostorefront,Collin Wallace,https://www.linkedin.com/in/collin-wallace/,https://www.linkedin.com/company/18977266,false,false,https://www.ycombinator.com/companies/zerostorefront/jobs (could not find a dedicated career website),#1 Data platform for restaurants. Acquired by Thanx,Early,"{restaurant tech,crm}","{b2b,operations}","San Mateo, CA, USA; Remote",7,Winter 2019,2500000
Fuzzbuzz,fuzzbuzz,Sabera Hussain,https://www.linkedin.com/in/sabera-hussain,https://www.linkedin.com/company/fuzzbuzz,false,false,https://www.ycombinator.com/companies/fuzzbuzz/jobs (could not find a dedicated career website),Fuzzing as a Service,Early,"{security,cybersecurity}","{b2b,infrastructure}","San Francisco, CA, USA",0,Winter 2019,16271000
Spiral Genetics,spiral-genetics,Adina Mangubat,https://www.linkedin.com/in/amangubat/,\N,false,false,https://www.ycombinator.com/companies/spiral-genetics/jobs (could not find a dedicated career website),Large Scale Genomic Data Mining Software,Early,"{machine learning,genomics}","{healthcare,healthcare services}","Seattle, WA, USA",7,Winter 2019,9475000
Union Apartment,union-apartment,Yihsuan Chen,https://linkedin.com/in/ellsonchen,\N,false,false,https://www.ycombinator.com/companies/union-apartment/jobs (could not find a dedicated career website),"Furnished Co-living Apartments for International Students, here in…",Early,{real estate},"{real estate and construction,housing and real estate}","Los Angeles, CA, USA",12,Winter 2019,\N
Basement,basement,Jeremy Berman,https://www.linkedin.com/in/jeremyberman1/,\N,false,false,https://www.ycombinator.com/companies/basement/jobs (could not find a dedicated career website),The social network for your close friends.,Early,"{social,social network}","{consumer,social}","New York, NY, USA",2,Winter 2019,7500000
Datamode,datamode,Vaughn Koch,http://linkedin.com/in/vaughnkoch,\N,false,false,http://www.datamode.com/careers,Datamode (datamode.com) is a tool for engineers to instantly diagnose…,Early,"{analytics,data engineering}","{b2b,engineering, product and design}","Seattle, WA, USA",1,Winter 2019,\N
Capture,capture,Calvin LeGassick,https://www.linkedin.com/in/calvinlegassick,https://www.linkedin.com/company/usecapture/,false,false,https://capture.so/careers,"All your notes, tasks, and files in one super-fast workspace.",Early,{productivity},"{b2b,productivity}","New York, NY, USA; Remote",4,Winter 2019,\N
Hypnos,hypnos,Andrew Fleischer,https://www.linkedin.com/in/andrew-h-fleischer,https://www.linkedin.com/company/hypnos-ai,false,false,http://hypnos.ai/careers,A digital sleep journal that helps you get better sleep.,Early,{sleep tech},"{consumer,food and beverage}","Dallas, TX, USA; Remote",3,Winter 2019,6500000
DailyDoctor,dailydoctor,Marlon Castillo,https://linkedin.com/in/marlonscastillo,https://www.linkedin.com/company/37509090/,false,false,https://www.ycombinator.com/companies/dailydoctor/jobs (could not find a dedicated career website),"Daily telehealth care for people with COPD, CHF, hypertension, and…",Early,"{digital health,healthcare,telemedicine}",{healthcare},"San Jose, CA, USA; Remote",0,Winter 2019,\N
Fuse,fuse,Boateng Opoku-Yeboah,https://www.linkedin.com/in/byeboah/,https://www.linkedin.com/company/ysplit,false,false,https://www.ycombinator.com/companies/fuse/jobs (could not find a dedicated career website),Unified API for financial data aggregators.,Early,"{fintech,saas,b2b}",{fintech},"New York, NY, USA",7,Winter 2019,5000000
CareerTu,careertu,Ruiwan Xu,https://www.linkedin.com/in/ruiwanxu/,https://www.linkedin.com/company/careertu/mycompany/,false,false,https://www.ycombinator.com/companies/careertu/jobs (could not find a dedicated career website),Online school for Chinese to learn in-demand digital skills ,Early,"{education,careers}",{education},"New York, NY, USA",15,Winter 2019,15000000
Cherry,cherry,Gillian OBrien,https://www.linkedin.com/in/gillian-o-brien-13753610b/,https://www.linkedin.com/company/startcherry/,false,false,http://www.startcherry.com/careers,Cherry lets employees choose their own workplace perks.,Early,"{fintech,marketplace,saas}","{b2b,human resources}","San Francisco, CA, USA",2,Winter 2019,\N
